LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
136,Park Kultury Turek,Rozrywka/Kultura,Turek,"52.0590, 18.5020",#park rozrywki #rodzinne #aktywne,2-4h,Park rozrywki z atrakcjami,Maj-wrzesień; 10:00-19:00
137,Muzeum Okręgowe Konin,Historia/Kultura,Konin,"52.2230, 18.2520",#regionalne #archeologia #sztuka,1.5-2h,Muzeum z kolekcją archeologiczną,Wtorek-niedziela; 10:00-17:00
138,Rezerwat Mszar Bogdaniec,Natura/Torfowisko,Bogdaniec,"52.6820, 15.2880",#torfowisko #ptaki #przyroda,1-2h,Rezerwat torfowiskowy z ptactwem,Cały rok; dostęp 24/7
139,Stawy Milickie,Natura/Rekreacja,Milicz,"51.5640, 17.2350",#stawy rybne #ptaki #wędkarstwo,2-4h,Kompleks stawów rybnych z ptactwem,Cały rok; dostęp 24/7
140,Muzeum Ziemi Kaliskiej,Historia/Kultura,Kalisz,"51.7569, 18.0885",#regionalne #sztuka #archeologia,1.5-2h,Muzeum z kolekcją regionalną,Wtorek-niedziela; 10:00-17:00
141,Park Solankowy Inowrocław,Relaks/Zdrowie,Inowrocław,"52.7980, 18.2610",#uzdrowisko #solanki #spa,1-2h,Park uzdrowiskowy z solankami,Cały rok; dostęp 24/7
142,Tężnie Solankowe Ciechocinek,Relaks/Zdrowie,Ciechocinek,"52.8780, 18.7980",#uzdrowisko #tężnie #spa,1-2h,Największe tężnie w Europie,Cały rok; dostęp 24/7
143,Muzeum Hymnu Narodowego,Historia/Kultura,Będomin,"54.3480, 18.2950",#patriotyczne #historia #edukacyjne,1-1.5h,Muzeum poświęcone hymnu Polski,Wtorek-niedziela; 10:00-17:00
144,Rezerwat Dębina Kołaczkowa,Natura/Las,Kołaczkowo,"52.2980, 17.0280",#las dębowy #pomniki przyrody #szlaki,1-2h,Rezerwat z pomnikowymi dębami,Cały rok; dostęp 24/7
145,Zamek Bąków,Historia/Ruiny,Bąków,"52.1280, 16.9580",#ruiny #średniowiecze #romantyczne,1-1.5h,Ruiny średniowiecznego zamku,Cały rok; dostęp 24/7
146,Puszcza Bieniszewska,Natura/Las,Bieniszew,"52.4280, 17.6580",#las #szlaki #przyroda,2-4h,Kompleks leśny z szlakami turystycznymi,Cały rok; dostęp 24/7
147,Jezioro Skulskie,Natura/Rekreacja,Skulsk,"52.4950, 17.8780",#jezioro #plaża #kąpiel,2-4h,Czyste jezioro z plażą,Czerwiec-sierpień; dostęp 24/7
148,Muzeum Archeologiczne Poznań,Historia/Archeologia,Poznań,"52.4082, 16.9335",#archeologia #piastowie #edukacyjne,1.5-2h,Muzeum z kolekcją archeologiczną,Wtorek-niedziela; 10:00-17:00
149,Stary Kanał Bydgoski,Technika/Historia,Nakło nad Notecią,"53.1450, 17.6050",#inżynieria #historia #szlak wodny,2-3h,Zabytkowy kanał żeglugowy z XVIII w.,Cały rok; dostęp 24/7
150,Rezerwat Torfowisko Żabiniec,Natura/Torfowisko,Żabiniec,"52.5680, 16.8280",#torfowisko #rzadkie rośliny #przyroda,1-2h,Rezerwat torfowiskowy z unikatową roślinnością,Cały rok; dostęp 24/7
