LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
135,Muzeum Sztuki Gorzów,Sztuka/Kultura,Gorzów Wielkopolski,"52.7680, 15.2300",#sztuka współczesna #wystawy #galeria,2-3h,Galeria sztuki współczesnej,Wtorek-niedziela; 10:00-18:00
136,Park Treningowy Międzyrzecz,Rozrywka/Sport,Międzyrzecz,"52.4500, 15.0100",#fitness #sport #rodzinne,1.5-2h,Park z urządzeniami treningowymi,Cały rok; 9:00-21:00
137,Skansen Wsi Lubuskiej Żary,Kultura/Skansen,Żary,"51.6500, 15.3100",#tradycja #architektura #edukacyjne,2-3h,Skansen z zabudową wsi lubuskiej,Maj-wrzesień; 10:00-17:00
138,Muzeum Medycyny Kostrzyn,Historia/Nauka,Kostrzyn nad Odrą,"52.5850, 14.6450",#medycyna #historia #edukacyjne,1.5-2h,Muzeum historii medycyny,Wtorek-niedziela; 10:00-16:00
139,Park Edukacyjny Gorzów,Rozrywka/Edukacja,Gorzów Wielkopolski,"52.7750, 15.2400",#edukacja #rodzinne #aktywne,2-3h,Park z stanowiskami edukacyjnymi,Maj-wrzesień; 10:00-18:00
140,Muzeum Przyrody Żary,Przyroda/Edukacja,Żary,"51.6400, 15.2900",#przyroda #fauna #flor #edukacyjne,1.5-2h,Muzeum z kolekcją przyrodniczą,Wtorek-niedziela; 9:00-17:00
141,Fotostudio Artystyczne Zielona Góra,Sztuka/Kultura,Zielona Góra,"51.9350, 15.5080",#fotografia #sztuka #galeria,1-2h,Galeria fotografii ze wernisażami,Wtorek-niedziela; 12:00-18:00
142,Muzeum Rękodzieła Lubuszko,Kultura/Tradycja,Lubuszko,"52.5000, 15.0000",#rękodzieło #tradycja #edukacyjne,1.5-2h,Muzeum tradycyjnych rzemiosł,Wtorek-sobota; 10:00-16:00
143,Park Linowy Gorzów,Rozrywka/Przygoda,Gorzów Wielkopolski,"52.7600, 15.2500",#przygoda #aktywne #rodzinne,2-3h,Park ze ścieżkami linowymi,Maj-wrzesień; 10:00-18:00
144,Muzeum Flory Zachodniej,Przyroda/Edukacja,Żary,"51.6500, 15.2900",#botanika #rośliny #edukacyjne,1.5-2h,Muzeum roślin i ekosystemów,Wtorek-niedziela; 10:00-17:00
145,Studio Rzemiosła Żagań,Kultura/Tradycja,Żagań,"51.7950, 15.2850",#rękodzieło #tradycja #warsztaty,1.5-2h,Studio z warsztatami rzemiosła,Maj-wrzesień; 10:00-17:00
146,Muzeum Techniki Rolnej,Technika/Historia,Żary,"51.6400, 15.2800",#rolnictwo #maszyny #edukacyjne,1.5-2h,Muzeum maszyn i narzędzi rolnych,Wtorek-niedziela; 9:00-17:00
147,Park Zabawy Międzyrzecz,Rozrywka/Rodzinne,Międzyrzecz,"52.4500, 15.0200",#zabawy #dzieci #aktywne,2-3h,Park z zabawkami i przeszkodami,Maj-wrzesień; 10:00-18:00
148,Galeria Sztuki Nowoczesnej Kostrzyn,Sztuka/Kultura,Kostrzyn nad Odrą,"52.5850, 14.6450",#sztuka współczesna #wystawy #galeria,1.5-2h,Galeria sztuki współczesnej,Wtorek-niedziela; 11:00-17:00
149,Muzeum Tradycji Łowieckiej,Historia/Kultura,Żary,"51.6430, 15.2850",#łowiectwo #tradycja #edukacyjne,1-1.5h,Muzeum polowań i tradycji myśliwskiej,Wtorek-sobota; 10:00-15:00
150,Park Przyrody Edukacyjny,Przyroda/Edukacja,Lubuszko,"52.5000, 15.0000",#przyroda #edukacja #szlaki,2-4h,Park z trasami edukacyjnymi,Maj-wrzesień; 9:00-17:00
